2008/03/15,1
2008/03/16,0
2008/03/17,0
2008/03/18,1
2008/03/19,8
2008/03/20,1
2008/03/21,10
2008/03/22,6
2008/03/23,4
2008/03/24,4
2008/03/25,19
2008/03/26,4
2008/03/27,6
2008/03/28,1
2008/03/29,0
2008/03/30,7
2008/03/31,5
2008/04/01,4
2008/04/02,2
2008/04/03,4
2008/04/04,2
2008/04/05,4
2008/04/06,6
2008/04/07,5
2008/04/08,3
2008/04/09,4
2008/04/10,10
2008/04/11,0
2008/04/12,6
2008/04/13,11
2008/04/14,5
2008/04/15,0
2008/04/16,2
2008/04/17,0
2008/04/18,18
2008/04/19,8
2008/04/20,3
2008/04/21,3
2008/04/22,0
2008/04/23,3
2008/04/24,3
2008/04/25,0
2008/04/26,1
2008/04/27,0
2008/04/28,1
2008/04/29,6
2008/04/30,9
2008/05/01,7
2008/05/02,0
2008/05/03,0
2008/05/04,0
2008/05/05,0
2008/05/06,6
2008/05/07,6
2008/05/08,3
2008/05/09,3
2008/05/10,5
2008/05/11,0
2008/05/12,1
2008/05/13,12
2008/05/14,10
2008/05/15,1
2008/05/16,6
2008/05/17,13
2008/05/18,9
2008/05/19,14
2008/05/20,2
2008/05/21,0
2008/05/22,0
2008/05/23,0
2008/05/24,0
2008/05/25,1
2008/05/26,1
2008/05/27,1
2008/05/28,6
2008/05/29,3
2008/05/30,5
2008/05/31,17
2008/06/01,7
2008/06/02,6
2008/06/03,0
2008/06/04,0
2008/06/05,6
2008/06/06,7
2008/06/07,1
2008/06/08,3
2008/06/09,9
2008/06/10,1
2008/06/11,5
2008/06/12,0
2008/06/13,5
2008/06/14,4
2008/06/15,2
2008/06/16,10
2008/06/17,8
2008/06/18,26
2008/06/19,0
2008/06/20,3
2008/06/21,2
2008/06/22,6
2008/06/23,5
2008/06/24,2
2008/06/25,35
2008/06/26,8
2008/06/27,5
2008/06/28,7
2008/06/29,4
2008/06/30,7
2008/07/01,11
2008/07/02,11
2008/07/03,5
2008/07/04,6
2008/07/05,1
2008/07/06,2
2008/07/07,1
2008/07/08,1
2008/07/09,1
2008/07/10,3
2008/07/11,1
2008/07/12,14
2008/07/13,21
2008/07/14,3
2008/07/15,2
2008/07/16,2
2008/07/17,28
2008/07/18,33
2008/07/19,13
2008/07/20,13
2008/07/21,1
2008/07/22,10
2008/07/23,12
2008/07/24,10
2008/07/25,9
2008/07/26,13
2008/07/27,20
2008/07/28,9
2008/07/29,11
2008/07/30,10
2008/07/31,6
2008/08/01,1
2008/08/02,0
2008/08/03,1
2008/08/04,16
2008/08/05,44
2008/08/06,9
2008/08/07,11
2008/08/08,12
2008/08/09,5
2008/08/10,17
2008/08/11,4
2008/08/12,1
2008/08/13,1
2008/08/14,1
2008/08/15,1
2008/08/16,0
2008/08/17,2
2008/08/18,0
2008/08/19,0
2008/08/20,4
2008/08/21,7
2008/08/22,5
2008/08/23,7
2008/08/24,0
2008/08/25,2
2008/08/26,0
2008/08/27,5
2008/08/28,5
2008/08/29,6
2008/08/30,0
2008/08/31,4
2008/09/01,10
2008/09/02,6
2008/09/03,23
2008/09/04,6
2008/09/05,9
2008/09/06,16
2008/09/07,13
2008/09/08,17
2008/09/09,4
2008/09/10,10
2008/09/11,9
2008/09/12,29
2008/09/13,8
2008/09/14,15
2008/09/15,23
2008/09/16,2
2008/09/17,7
2008/09/18,3
2008/09/19,4
2008/09/20,7
2008/09/21,10
2008/09/22,3
2008/09/23,7
2008/09/24,4
2008/09/25,4
2008/09/26,4
2008/09/27,20
2008/09/28,12
2008/09/29,10
2008/09/30,2
2008/10/01,6
2008/10/02,8
2008/10/03,5
2008/10/04,14
2008/10/05,2
2008/10/06,8
2008/10/07,2
2008/10/08,4
2008/10/09,6
2008/10/10,10
2008/10/11,21
2008/10/12,5
2008/10/13,1
2008/10/14,12
2008/10/15,4
2008/10/16,10
2008/10/17,3
2008/10/18,4
2008/10/19,0
2008/10/20,5
2008/10/21,5
2008/10/22,2
2008/10/23,1
2008/10/24,2
2008/10/25,0
2008/10/26,0
2008/10/27,3
2008/10/28,3
2008/10/29,5
2008/10/30,1
2008/10/31,4
2008/11/01,1
2008/11/02,15
2008/11/03,3
2008/11/04,10
2008/11/05,13
2008/11/06,0
2008/11/07,10
2008/11/08,3
2008/11/09,1
2008/11/10,5
2008/11/11,15
2008/11/12,5
2008/11/13,11
2008/11/14,5
2008/11/15,7
2008/11/16,24
2008/11/17,10
2008/11/18,7
2008/11/19,3
2008/11/20,10
2008/11/21,5
2008/11/22,2
2008/11/23,4
2008/11/24,10
2008/11/25,2
2008/11/26,5
2008/11/27,3
2008/11/28,5
2008/11/29,2
2008/11/30,10
2008/12/01,9
2008/12/02,3
2008/12/03,3
2008/12/04,1
2008/12/05,7
2008/12/06,1
2008/12/07,11
2008/12/08,2
2008/12/09,1
2008/12/10,0
2008/12/11,6
2008/12/12,7
2008/12/13,6
2008/12/14,6
2008/12/15,8
2008/12/16,5
2008/12/17,8
2008/12/18,3
2008/12/19,0
2008/12/20,3
2008/12/21,6
2008/12/22,4
2008/12/23,8
2008/12/24,2
2008/12/25,0
2008/12/26,2
2008/12/27,6
2008/12/28,8
2008/12/29,6
2008/12/30,3
2008/12/31,4
2009/01/01,8
2009/01/02,7
2009/01/03,0
2009/01/04,6
2009/01/05,13
2009/01/06,10
2009/01/07,3
2009/01/08,6
2009/01/09,9
2009/01/10,3
2009/01/11,1
2009/01/12,8
2009/01/13,4
2009/01/14,1
2009/01/15,15
2009/01/16,2
